384172c was Fabian Siatama, 8 weeks ago, message: Finaliza jornada QH 2015-01-29
68d7cb8 was Fabian Siatama, 8 weeks ago, message: Finaliza jornada QH 2015-01-28
487fdae was Fabian Siatama, 8 weeks ago, message: quitar css no utlizado
806b205 was Fabian Siatama, 8 weeks ago, message: arreglo de rutas y llamado a controladores
19cd6a4 was Fabian Siatama, 8 weeks ago, message: corregido error al renombrar la carpeta root del remote Tree en la consulta de indicadores
ddab532 was Fabian Siatama, 8 weeks ago, message: Merge pull request #2 from memoher/desarrollo_fase_3
cfaa9fd was memoher, 8 weeks ago, message: Completando el formulario de herramientas
4a88a05 was memoher, 8 weeks ago, message: Mejoras en el home y en el menú
0e0396f was Fabian Siatama, 8 weeks ago, message: borrado antiguo FusionChart
6c8e58b was memoher, 8 weeks ago, message: Mejoras en el Home
9d387c0 was Fabian Siatama, 8 weeks ago, message: Finaliza 2015-01-25
b67f3b3 was memoher, 9 weeks ago, message: Mas cambios
ef66aee was memoher, 9 weeks ago, message: Cambios antes de incluir carousel
9b6dee2 was Fabian Siatama, 9 weeks ago, message: Finaliza jornada QH 2015-01-23
ae5d22c was Fabian Siatama, 9 weeks ago, message: Finaliza 2015-01-22
f233c66 was Fabian Siatama, 9 weeks ago, message: Finaliza jornada QH 2015-01-22
f472f0e was Fabian Siatama, 9 weeks ago, message: Finaliza jornada QH 2015-01-21}
fc879fd was Fabian Siatama, 9 weeks ago, message: Finaliza 2015-01-20
6cda162 was Fabian Siatama, 9 weeks ago, message: Finaliza jornada QH 2015-01-20
ff5d2bd was Fabian Siatama, 9 weeks ago, message: Finaliza jornada QH 2015-01-19
62458d6 was Fabian Siatama, 9 weeks ago, message: Finaliza 2015-01-18
5d2148f was Fabian Siatama, 10 weeks ago, message: Finaliza jornada QH 2015-01-16
98684dd was Fabian Siatama, 10 weeks ago, message: Finaliza jornada QH 2015-01-15
7fefb78 was Fabian Siatama, 10 weeks ago, message: Merge pull request #1 from memoher/desarrollo_fase_3
3b94666 was Fabian Siatama, 2 months ago, message: Finaliza jornada QH 2015-01-14
b599766 was memoher, 2 months ago, message: Primer commit
5ad3c11 was Fabian Siatama, 2 months ago, message: Finaliza 2015-01-13
1d83d7c was Fabian Siatama, 2 months ago, message: Finaliza jornada QH 2015-01-13
f5aa0d2 was Fabian Siatama, 2 months ago, message: Finaliza 2015-01-12
1790982 was Fabian Siatama, 2 months ago, message: Finaliza 2015-01-11
9e2818f was Fabian Siatama, 3 months ago, message: Finaliza jornada QH 2015-01-09
860870a was Fabian Siatama, 3 months ago, message: Finaliza jornada QH 2015-01-08
fd9b55f was Fabian Siatama, 3 months ago, message: Finaliza jornada QH 2015-01-07
a657b81 was memoher, 3 months ago, message: Separé el formulario de logueo de la página principal Incluí la hoja de estilos normalize.css
c5c626b was Fabian Siatama, 3 months ago, message: Finaliza 2015-01-06
3609758 was Fabian Siatama, 3 months ago, message: Finaliza jornada QH 2015-01-06
53cf897 was Fabian Siatama, 3 months ago, message: Finaliza jornada QH 2015-01-05
0af3a38 was fsiatama, 3 months ago, message: ajuste del timeout para ajax
50af6a9 was Fabian Siatama, 3 months ago, message: se suben cambio para demo
a2d3287 was Fabian Siatama, 3 months ago, message: se suben cambio para demo
1be1680 was Fabian Siatama, 3 months ago, message: Finaliza 2015-01-04
29b3bed was Fabian Siatama, 3 months ago, message: finaliza jornada QH 02-01-2015
3f73ec4 was Fabian Siatama, 3 months ago, message: creacion indicador 22
da383c5 was Fabian Siatama, 3 months ago, message: creacion indicador 22
1474f70 was Fabian Siatama, 3 months ago, message: finaliza jornada QH 30-12-2014
6e433ab was Fabian Siatama, 3 months ago, message: Finaliza 2014-12-29
3ce4ecd was Fabian Siatama, 3 months ago, message: finaliza jornada QH 29-12-2014
f537a57 was memoher, 3 months ago, message: Ajustes iniciales al layout
00a7754 was Fabian Siatama, 3 months ago, message: Finaliza 2014-12-28
606f3fe was Fabian Siatama, 3 months ago, message: Finaliza 2014-12-28
486592c was memoher, 3 months ago, message: Prueba 2
8a982de was memoher, 3 months ago, message: Prueba Julian
308b4ce was Fabian Siatama, 3 months ago, message: ejemplo Julian
d6b7773 was Fabian Siatama, 3 months ago, message: finaliza jornada QH 26-12-2014
cb42c36 was Fabian Siatama, 3 months ago, message: finaliza jornada QH 26-12-2014
330fff9 was Fabian Siatama, 3 months ago, message: finaliza jornada QH 26-12-2014
cf40b71 was Fabian Siatama, 3 months ago, message: finaliza jornada QH 23-12-2014
4b7a713 was Fabian Siatama, 3 months ago, message: Finaliza 2014-12-22
cfb39d6 was Fabian Siatama, 3 months ago, message: finaliza jornada QH 22-12-2014
d237ae7 was Fabian Siatama, 3 months ago, message: Finaliza 2014-12-21
26ee453 was Fabian Siatama, 3 months ago, message: finaliza jornada QH 19-12-2014
884df53 was Fabian Siatama, 3 months ago, message: finaliza jornada QH 19-12-2014
9b28de6 was Fabian Siatama, 3 months ago, message: finaliza jornada QH 18-12-2014
5b66a24 was Fabian Siatama, 3 months ago, message: finaliza jornada QH 18-12-2014
cef1d8d was Fabian Siatama, 3 months ago, message: arreglo phpExcel graficar
e745818 was Fabian Siatama, 3 months ago, message: arreglo phpExcel graficar
7240aac was Fabian Siatama, 3 months ago, message: finaliza jornada QH 17-12-2014
a028749 was Fabian Siatama, 3 months ago, message: finaliza jornada QH 16-12-2014
69fe9b8 was Fabian Siatama, 3 months ago, message: Finaliza 2014-12-14
a876578 was Fabian Siatama, 3 months ago, message: fin jornada 13-12-2014
6fdb455 was Fabian Siatama, 3 months ago, message: fin jornada 13-12-2014
b105623 was Fabian Siatama, 3 months ago, message: finaliza jornada QH 12-12-2014
3aac278 was Fabian Siatama, 3 months ago, message: finaliza jornada QH 11-12-2014
5a0d621 was Fabian Siatama, 3 months ago, message: finaliza jornada QH 11-12-2014
0000cea was Fabian Siatama, 4 months ago, message: finaliza jornada QH 10-12-2014
066324d was Fabian Siatama, 4 months ago, message: adicion phpexcel
1da918d was Fabian Siatama, 4 months ago, message: finaliza jornada QH 09-12-2014
1b0eb05 was Fabian Siatama, 4 months ago, message: fin jornada 08-12-2014
929f089 was Fabian Siatama, 4 months ago, message: fin jornada 07-12-2014
b9a1ad2 was Fabian Siatama, 4 months ago, message: finaliza jornada QH 05-12-2014
7cea1a8 was Fabian Siatama, 4 months ago, message: fin jornada 04-12-2014
ba556e6 was Fabian Siatama, 4 months ago, message: finaliza jornada QH 04-12-2014
5b887ad was Fabian Siatama, 4 months ago, message: finaliza jornada QH 03-12-2014
c6eab6a was Fabian Siatama, 4 months ago, message: finaliza jornada QH 02-12-2014
4aaf2f1 was Fabian Siatama, 4 months ago, message: finaliza jornada QH 02-12-2014
ef35b95 was Fabian Siatama, 4 months ago, message: fin jornada 01-12-2014
90c3049 was Fabian Siatama, 4 months ago, message: finaliza jornada QH 01-12-2014
e00c5c4 was Fabian Siatama, 4 months ago, message: fin jornada 30-11-2014
c78be54 was Fabian Siatama, 4 months ago, message: fin jornada 29-11-2014
550143f was Fabian Siatama, 4 months ago, message: finaliza jornada QH 28-11-2014
431de77 was Fabian Siatama, 4 months ago, message: fin jornada 27-11-2014
